0	-14536.65	4794.56	39524.16
1	-13319.48	10753.04	49051.56
2	-16567.25	12789.23	46195.02
3	-20648.64	18303.44	48176.66
4	-1930	20671.43	51227.53
5	-9403.736	19622.39	48751.03
6	-2831.791	19775.45	50220.95
7	1198.493	23433.09	50109.83
8	-445.2361	26112.93	52985.09
9	5723.41	27961.05	52979.98
10	2929.761	31113.86	54357.14
11	4723.021	32879.48	54575.18
12	3697.744	34013.12	54573.6
13	-1221.578	33306.96	55875.55
14	2500.834	34642.64	55012.76
15	-1750	36494.66	55090.79
16	1340.728	34655.14	55140.6
17	4967.749	34260.94	55059.42
18	2264.565	34483.06	56518.83
19	3089.945	37834.04	55830.56
20	7314.69	37079.19	55139.84
21	7015.897	38685.59	55406.56
22	7037.966	40365.53	55507.56
23	5872.258	40157.91	54855.97
24	-3385.268	39909.44	55178.26
25	7407.132	40448.83	55042.21
26	1256.122	37569.73	54970.79
27	964.2543	35132.22	55907.88
28	1295.177	39107.72	55777.56
29	6606.472	39754.87	57035.2
30	2190.144	40170.26	54966.43
31	1138.605	36802.75	55359.45
32	2477.369	36539.35	57262.1
33	1879.527	39055.92	56161.34
34	-2031.205	40955.34	56260.45
35	5643	38338.79	54984.23
36	3328.432	38517.34	56194.55
37	14876.28	40376	55264.87
38	17725.95	42743.85	55063.5
39	12114.53	43185.83	55110.32
40	5966.098	40143.38	55983.72
41	6141.593	39526.11	55158.11
42	11345.73	41062.38	55202
43	6816.984	40479.55	55401.86
44	10394.23	42283.92	54234.85
45	14049.74	40643.5	59118.06
46	25122.03	42793.4	55208.94
47	19284.85	42679.82	55102.81
48	23460.37	42762.55	55255.63
49	21984.11	40817.38	54974.31
